com.samsung.shealth.insight_message,6302031,2
is_ai_generated,feedback_type,service_id,description,exposure_uri,condition_id,msg_id,update_time,create_time,is_viewed,tag,category,title,deviceuuid,pkg_name,datauuid,day_time
1,,tracker.vitality,Your consistent sleep pattern is positively influencing your overall health and well-being. Maintaining this consistency is crucial for your energy levels. Consider continuing your current sleep routine to further improve your energy score. Keep up the great work!,intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=18919__29220;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,,,2025-02-04 13:54:53.794,2025-02-04 13:54:53.794,0,18919,VS_VITALITYSCORE,Keep Up the Great Work!,3QItrwNcp5,com.sec.android.app.shealth,25cef3a5-c089-41a2-9c67-eed0581fa357,1738627200000,
0,,tracker.vitality,"Your sleeping heart rate has returned to standard range and is stable. Your body is recovering nicely. With enough rest and a continued commitment to your well-being, you should be able to consistently maintain good health overall.",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19105__29338;S.extra_llm_type=rule;S.tracker_id=tracker.vitality;end,,,2025-02-05 12:08:09.519,2025-02-05 02:20:51.605,0,19105,VS_VITALITYSCORE,Repair in progress,3QItrwNcp5,com.sec.android.app.shealth,c01b621f-c8ea-4c42-9441-dcabefd6335f,1738713600000,
1,,tracker.vitality,"Your energy score is good today, reflecting your hard work. Your recent sleeping heart rate of 53 bpm and average sleep time of 6 hours and 55 minutes are positively influencing your energy. Consider aiming for around 8 hours of sleep tonight to further boost your energy score. Keep up the great work!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19036__29294;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,,,2025-02-06 04:40:00.644,2025-02-06 04:40:00.644,0,19036,VS_VITALITYSCORE,Keep Up the Great Work!,3QItrwNcp5,com.sec.android.app.shealth,ebf2730a-6593-4da6-8b87-7f3a0b267656,1738800000000,
1,,tracker.vitality,"Your active time has decreased by 1 hour and 26 minutes compared to your recent average. This reduction may be affecting your energy score. Consider aiming for today's target of 4 hours of active time. Keep up your good step count of 10,543 steps. Stay active and focused on your health goals!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19046__29300;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,,,2025-02-07 04:32:54.644,2025-02-06 23:00:06.368,0,19046,VS_VITALITYSCORE,Boost Your Active Time,3QItrwNcp5,com.sec.android.app.shealth,03809858-fa33-4e62-ae73-47de96e8d13e,1738886400000,
1,,tracker.vitality,"Sleeping at 1:26 AM is contributing to your good energy score of 83. Maintaining this bedtime can help lower risks for heart disease, diabetes, and obesity. Continue with your current sleep patterns to keep your energy levels high. Keep up the great work!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=18935__29232;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,,,2025-02-08 10:58:30.149,2025-02-08 02:03:37.053,0,18935,VS_VITALITYSCORE,Maintain Your Sleep Routine,3QItrwNcp5,com.sec.android.app.shealth,8bfe7388-b25b-47cb-a47d-9477a315a53e,1738972800000,
1,,tracker.vitality,"Your active time decreased to 30 minutes yesterday, contributing to a fair energy score of 70. Long sedentary periods can increase fatigue and illness risk. Aim for 1 hour and 13 minutes of active time today. Consider incorporating small changes like standing more, stretching, or quick strolls. Keep pushing towards your goals!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=18955__29244;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,,,2025-02-09 05:47:54.218,2025-02-09 05:47:54.218,0,18955,VS_VITALITYSCORE,Boost Your Active Time,3QItrwNcp5,com.sec.android.app.shealth,84073b23-8847-4d57-88da-3826e33f4304,1739059200000,
1,,tracker.vitality,"Your sleeping heart rate grade is fair, indicating a significant deviation from your usual average. This affects your rest and energy. Today, focus on recovery by taking plenty of breaks and ensuring good sleep habits. This will help improve your energy score. Keep up the good work and stay motivated!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19113__29342;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,,,2025-02-10 02:22:54.053,2025-02-10 02:22:54.053,0,19113,VS_VITALITYSCORE,Focus on Recovery,3QItrwNcp5,com.sec.android.app.shealth,d22dfb13-b912-4822-a031-d90ff8b6b30a,1739145600000,
1,,tracker.vitality,"Your energy score is fair, indicating your body and mind need more rest. With a recent sleeping heart rate of 52bpm and a mean sleep time of 5 hours and 45 minutes, consider keeping a more relaxed schedule today. Aim for around 8 hours of sleep tonight to improve your energy score. Prioritize rest and recovery to boost your overall health.",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19017__29280;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,,,2025-02-11 03:46:43.669,2025-02-11 03:46:43.669,0,19017,VS_VITALITYSCORE,Rest and Recharge,3QItrwNcp5,com.sec.android.app.shealth,50b228e9-febd-4f57-bf6e-4d1dc92dd442,1739232000000,
1,,tracker.vitality,"Your active time has decreased by 1 hour and 31 minutes recently, affecting your energy score. Yesterday's active time was 58 minutes. Aim for today's target of 2 hours and 20 minutes to improve your energy score. Consider incorporating more light activities like walking or stretching. Keep pushing towards your health goals!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19045__29300;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,,,2025-02-12 03:02:54.002,2025-02-12 03:02:54.002,0,19045,VS_VITALITYSCORE,Boost Your Active Time,3QItrwNcp5,com.sec.android.app.shealth,0ae96c9b-84a5-46f6-aa89-cc526e4e29e5,1739318400000,
1,,tracker.vitality,"Your energy score is good today, reflecting your hard work. With a sleeping HR of 52bpm and 2 hours and 27 minutes of active time, you're on the right track. Consider aiming for at least 8 hours of sleep tonight to boost your energy score. Keep up the great work and stay motivated!",intent:#Intent;action=com.samsung.android.app.shealth.intent.action.INSIGHT_HA_LOGGING_CARD_EXPOSED;package=com.sec.android.app.shealth;S.card_id=19036__29294;S.extra_llm_type=llm;S.tracker_id=tracker.vitality;end,,,2025-02-13 02:10:50.837,2025-02-13 02:10:50.837,0,19036,VS_VITALITYSCORE,Keep Up the Great Work!,3QItrwNcp5,com.sec.android.app.shealth,b1593f95-e3b6-4f66-945b-d46ded5adcd1,1739404800000,
